,Hash,Functions,Family
11,30E78D186B27D2023A2A7319BB679C3F, AllocConsole GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA CreateFileA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetModuleHandleA WriteConsoleInputA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess GetComputerNameA GetStartupInfoA Sleep GetDriveTypeA GetLastError __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z ??2@YAPAXI@Z sprintf strncpy atoi _strcmpi __CxxFrameHandler sscanf _exit strrchr _acmdln exit _XcptFilter atol InternetQueryOptionA InternetOpenA InternetReadFile InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetSetOptionA HttpSendRequestA InternetCloseHandle StartServiceCtrlDispatcherA SetServiceStatus CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken RegisterServiceCtrlHandlerA URLDownloadToFileA GetUserNameExA,Fam2
12,55FB1409170C91740359D1D96364F17B, GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next AllocConsole CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetLocalTime GetVersionExA GetModuleFileNameA GetCurrentProcess CreateMutexA CopyFileA CreateDirectoryA ExitProcess lstrlenA GetModuleHandleA CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess Process32First GetStartupInfoA GetLastError strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf atoi _strcmpi atol strcat __CxxFrameHandler _EH_prolog memset sscanf memcpy strrchr InternetQueryOptionA InternetOpenA HttpSendRequestA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetCloseHandle InternetOpenUrlA InternetSetOptionA InternetReadFile GetUserProfileDirectoryA CloseServiceHandle OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken GetUserNameA RegCloseKey RegDeleteValueA RegCreateKeyExA EnumServicesStatusExA URLDownloadToFileA ShellExecuteA GetUserNameExA,Fam5
13,F4ED3B7A8A58453052DB4B5BE3707342, lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess DeleteFileA GetModuleFileNameA GetLocalTime GetDriveTypeA CreateMutexA SetFileTime SystemTimeToFileTime GetSystemTime CopyFileA lstrlenA GetTempFileNameA GetTempPathA ExitProcess GetModuleHandleA GetVolumeInformationA SetStdHandle ExpandEnvironmentStringsA GetSystemDirectoryA GetFileAttributesA OpenProcess GetExitCodeProcess PeekNamedPipe ReadFile GetConsoleDisplayMode CreateProcessA AttachConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread TerminateProcess GetStartupInfoA WaitForSingleObject CloseHandle GetVersionExA GetLastError DefWindowProcA RegisterClassExA CreateWindowExA GetMessageA TranslateMessage DispatchMessageA memcpy strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf memset _except_handler3 atoi _strcmpi __CxxFrameHandler _EH_prolog atol sscanf strrchr strcat InternetSetOptionA InternetOpenA InternetQueryOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA HttpSendRequestA InternetReadFile InternetCloseHandle InternetOpenUrlA GetUserProfileDirectoryA OpenProcessToken CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA GetUserNameA RegCloseKey RegSetValueExA RegCreateKeyExA RegDeleteValueA CreateProcessAsUserA URLDownloadToFileA SHCreateDirectoryExA ShellExecuteA GetUserNameExA,Fam3
14,7388D67561D0A7989202AD4D37EFF24F, lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess DeleteFileA GetModuleFileNameA GetLocalTime GetDriveTypeA CreateMutexA SetFileTime SystemTimeToFileTime GetSystemTime CopyFileA lstrlenA GetTempFileNameA GetTempPathA ExitProcess GetModuleHandleA GetVolumeInformationA SetStdHandle ExpandEnvironmentStringsA GetSystemDirectoryA GetFileAttributesA OpenProcess GetExitCodeProcess PeekNamedPipe ReadFile GetConsoleDisplayMode CreateProcessA AttachConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread TerminateProcess GetStartupInfoA WaitForSingleObject CloseHandle GetVersionExA GetLastError DefWindowProcA RegisterClassExA CreateWindowExA GetMessageA TranslateMessage DispatchMessageA memcpy strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf memset _except_handler3 atoi _strcmpi __CxxFrameHandler _EH_prolog atol sscanf strrchr strcat InternetSetOptionA InternetOpenA InternetQueryOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA HttpSendRequestA InternetReadFile InternetCloseHandle InternetOpenUrlA GetUserProfileDirectoryA OpenProcessToken CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA GetUserNameA RegCloseKey RegSetValueExA RegCreateKeyExA RegDeleteValueA CreateProcessAsUserA URLDownloadToFileA SHCreateDirectoryExA ShellExecuteA GetUserNameExA,Fam3
15,1F92FF8711716CA795FBD81C477E45F5, GetComputerNameA WriteConsoleInputA CreateFileA AttachConsole CreateProcessA GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess OpenProcess GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess GetVersion GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess SetStdHandle GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy memset ??2@YAPAXI@Z sprintf atoi _strcmpi strcat __CxxFrameHandler _EH_prolog HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam6
16,3E6ED3EE47BCE9946E2541332CB34C69, GetComputerNameA WriteConsoleInputA CreateFileA AttachConsole CreateProcessA GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess OpenProcess GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess GetVersion GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess SetStdHandle GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy memset ??2@YAPAXI@Z sprintf atoi _strcmpi strcat __CxxFrameHandler _EH_prolog HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam6
17,390D1F2A620912104F53C034C8AEF14B, GetComputerNameA WriteFile ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA OpenProcess GetFileAttributesA GetSystemDirectoryA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot GetFileSize CreateFileA GetCurrentProcess GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess ExpandEnvironmentStringsA GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy strstr ??2@YAPAXI@Z sprintf atoi _strcmpi memset strcat __CxxFrameHandler HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam1
18,AB208F0B517BA9850F1551C9555B5313, GetComputerNameA WriteConsoleInputA CreateFileA AttachConsole CreateProcessA GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess OpenProcess GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess GetVersion GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess SetStdHandle GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy memset ??2@YAPAXI@Z sprintf atoi _strcmpi strcat __CxxFrameHandler _EH_prolog HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam6
19,A565682D8A13A5719977223E0D9C7AA4, GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA PeekNamedPipe Process32Next Process32First CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetModuleFileNameA TerminateThread ReadFile GetConsoleDisplayMode AllocConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess GetLogicalDrives GetLastError _adjust_fdiv malloc _initterm free wcstombs atol strrchr sscanf __CxxFrameHandler _strcmpi atoi sprintf ??2@YAPAXI@Z ??3@YAXPAX@Z InternetReadFile HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetSetOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA StartServiceA SetServiceStatus RegisterServiceCtrlHandlerA RegDeleteValueA RegOpenKeyExA RegQueryValueExA RegSetValueExA RegCloseKey OpenProcessToken CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA URLDownloadToFileA GetUserNameExA,Fam4
20,3E69945E5865CCC861F69B24BC1166B6, GetComputerNameA WriteConsoleInputA CreateFileA AttachConsole CreateProcessA GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess OpenProcess GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess GetVersion GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess SetStdHandle GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy memset ??2@YAPAXI@Z sprintf atoi _strcmpi strcat __CxxFrameHandler _EH_prolog HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam6
